Timestamp,Event,Event data
2016-05-26 19:36:08,Pre-Purge,0,097063
2016-05-26 19:36:08,Pre-Purge,0,097063
2016-05-26 19:36:08,Pre-Purge,0,098064
2016-05-26 19:36:08,Pre-Purge,0,098064
2016-05-26 19:36:08,Pre-Purge,0,099065
2016-05-26 19:36:08,Pre-Purge,0,099065
2016-05-26 19:36:08,Pre-Purge,0,100065
2016-05-26 19:36:08,Pre-Purge,0,101066
2016-05-26 19:36:08,Pre-Purge,0,101066
2016-05-26 19:36:08,Pre-Purge,0,102067
2016-05-26 19:36:08,Pre-Purge,0,102067
2016-05-26 19:36:08,Pre-Purge,0,103067
2016-05-26 19:36:08,Pre-Purge,0,103067
2016-05-26 19:36:08,Pre-Purge,0,104068
2016-05-26 19:36:08,Pre-Purge,0,105069
2016-05-26 19:36:08,Pre-Purge,0,105069
2016-05-26 19:36:08,Pre-Purge,0,106070
2016-05-26 19:36:08,Pre-Purge,0,106070
2016-05-26 19:36:08,Pre-Purge,0,107069
2016-05-26 19:36:08,Pre-Purge,0,107069
2016-05-26 19:36:08,Pre-Purge,0,108071
2016-05-26 19:36:08,Pre-Purge,0,109072
2016-05-26 19:36:08,Pre-Purge,0,109072
2016-05-26 19:36:08,Pre-Purge,0,110073
2016-05-26 19:36:08,Pre-Purge,0,110073
2016-05-26 19:36:08,Pre-Purge,0,111073
2016-05-26 19:36:08,Pre-Purge,0,112073
2016-05-26 19:36:08,Pre-Purge,0,112073
2016-05-26 19:36:08,Pre-Purge,0,113074
2016-05-26 19:36:08,Pre-Purge,0,113074
2016-05-26 19:36:08,Pre-Purge,0,114075
2016-05-26 19:36:08,Pre-Purge,0,114075
2016-05-26 19:36:08,Pre-Purge,0,115076
2016-05-26 19:36:08,Pre-Purge,0,115076
2016-05-26 19:36:08,Pre-Purge,0,116076
2016-05-26 19:36:08,Pre-Purge,0,117077
2016-05-26 19:36:08,Pre-Purge,0,117077
2016-05-26 19:36:08,Pre-Purge,0,118077
2016-05-26 19:36:08,Pre-Purge,0,118077
2016-05-26 19:36:08,Pre-Purge,0,119078
2016-05-26 19:36:08,Pre-Purge,0,119078
2016-05-26 19:36:08,Pre-Purge,0,120079
2016-05-26 19:36:08,Pre-Purge,0,121080
2016-05-26 19:36:08,Pre-Purge,0,122080
2016-05-26 19:36:08,Pre-Purge,0,122080
2016-05-26 19:36:08,Pre-Purge,0,123081
2016-05-26 19:36:08,Pre-Purge,0,123081
2016-05-26 19:36:08,Pre-Purge,0,124082
2016-05-26 19:36:08,Pre-Purge,0,124082
2016-05-26 19:36:08,Pre-Purge,0,125082
2016-05-26 19:36:08,Pre-Purge,0,126083
2016-05-26 19:36:08,Pre-Purge,0,126083
2016-05-26 19:36:08,Pre-Purge,0,127083
2016-05-26 19:36:08,Pre-Purge,0,127083
2016-05-26 19:36:08,Pre-Purge,0,128084
2016-05-26 19:36:08,Pre-Purge,0,128084
2016-05-26 19:36:08,Pre-Purge,0,129086
2016-05-26 19:36:08,Pre-Purge,0,130085
2016-05-26 19:36:08,Pre-Purge,0,130085
2016-05-26 19:36:08,Pre-Purge,0,131086
2016-05-26 19:36:08,Pre-Purge,0,132087
2016-05-26 19:36:08,Pre-Purge,0,132087
2016-05-26 19:36:08,Pre-Purge,0,133088
2016-05-26 19:36:08,Pre-Purge,0,133088
2016-05-26 19:36:08,Pre-Purge,0,134088
2016-05-26 19:36:08,Pre-Purge,0,134088
2016-05-26 19:36:08,Pre-Purge,0,135089
2016-05-26 19:36:08,Pre-Purge,0,135089
2016-05-26 19:36:08,Pre-Purge,0,136089
2016-05-26 19:36:08,Pre-Purge,0,136089
2016-05-26 19:36:08,Pre-Purge,0,137090
2016-05-26 19:36:08,Pre-Purge,0,138091
2016-05-26 19:36:08,Pre-Purge,0,138091
2016-05-26 19:36:08,Pre-Purge,0,139091
2016-05-26 19:36:08,Pre-Purge,0,140093
2016-05-26 19:36:08,Pre-Purge,0,140093
2016-05-26 19:36:08,Pre-Purge,0,141093
2016-05-26 19:36:08,Pre-Purge,0,142094
2016-05-26 19:36:08,Pre-Purge,0,142094
2016-05-26 19:36:08,Pre-Purge,0,143095
2016-05-26 19:36:08,Pre-Purge,0,143095
2016-05-26 19:36:08,Pre-Purge,0,144095
2016-05-26 19:36:08,Pre-Purge,0,144095
2016-05-26 19:36:08,Pre-Purge,0,145095
2016-05-26 19:36:08,Pre-Purge,0,146096
2016-05-26 19:36:08,Pre-Purge,0,146096
2016-05-26 19:36:08,Pre-Purge,0,147097
2016-05-26 19:36:08,Pre-Purge,0,147097
2016-05-26 19:36:08,Pre-Purge,0,148098
2016-05-26 19:36:08,Pre-Purge,0,148098
2016-05-26 19:36:08,Pre-Purge,0,149098
2016-05-26 19:36:08,Pre-Purge,0,149098
2016-05-26 19:36:08,Pre-Purge,0,150100
2016-05-26 19:36:08,Pre-Purge,0,151100
2016-05-26 19:36:08,Pre-Purge,0,151100
2016-05-26 19:36:08,Pre-Purge,0,152100
2016-05-26 19:36:08,Pre-Purge,0,152100
2016-05-26 19:36:08,Pre-Purge,0,153101
2016-05-26 19:36:08,Pre-Purge,0,153101
2016-05-26 19:36:08,Pre-Purge,0,154101
2016-05-26 19:36:08,Pre-Purge,0,155103
2016-05-26 19:36:08,Pre-Purge,0,155103
2016-05-26 19:36:08,Pre-Purge,0,156103
2016-05-26 19:36:08,Pre-Purge,0,156103
2016-05-26 19:36:08,Pre-Purge,0,157103
2016-05-26 19:36:08,Pre-Purge,0,157103
2016-05-26 19:36:08,Pre-Purge,0,158103
2016-05-26 19:36:08,Pre-Purge,0,158103
2016-05-26 19:36:08,Pre-Purge,0,159105
2016-05-26 19:36:08,Pre-Purge,0,160106
2016-05-26 19:36:08,Pre-Purge,0,160106
2016-05-26 19:36:08,Pre-Purge,0,161106
2016-05-26 19:36:08,Pre-Purge,0,161106
2016-05-26 19:36:08,Pre-Purge,0,162107
2016-05-26 19:36:08,Pre-Purge,0,162107
2016-05-26 19:36:08,Pre-Purge,0,163107
2016-05-26 19:36:08,Pre-Purge,0,163107
2016-05-26 19:36:08,Pre-Purge,0,164108
2016-05-26 19:36:08,Pre-Purge,0,164108
2016-05-26 19:36:08,Pre-Purge,0,165109
2016-05-26 19:36:08,Pre-Purge,0,165109
2016-05-26 19:36:08,Pre-Purge,0,166109
2016-05-26 19:36:08,Pre-Purge,0,166109
2016-05-26 19:36:08,Pre-Purge,0,167109
2016-05-26 19:36:08,Pre-Purge,0,167109
2016-05-26 19:36:08,Pre-Purge,0,168110
2016-05-26 19:36:08,Pre-Purge,0,168110
2016-05-26 19:36:08,Pre-Purge,0,169111
2016-05-26 19:36:08,Pre-Purge,0,169111
2016-05-26 19:36:08,Pre-Purge,0,170112
2016-05-26 19:36:08,Pre-Purge,0,170112
2016-05-26 19:36:08,Pre-Purge,0,171113
2016-05-26 19:36:08,Pre-Purge,0,171113
2016-05-26 19:36:08,Pre-Purge,0,172113
2016-05-26 19:36:08,Pre-Purge,0,172113
2016-05-26 19:36:08,Pre-Purge,0,173114
2016-05-26 19:36:08,Pre-Purge,0,173114
2016-05-26 19:36:08,Pre-Purge,0,174115
2016-05-26 19:36:08,Pre-Purge,0,174115
2016-05-26 19:36:08,Pre-Purge,0,175116
2016-05-26 19:36:08,Pre-Purge,0,175116
2016-05-26 19:36:08,Pre-Purge,0,176116
2016-05-26 19:36:08,Pre-Purge,0,177116
2016-05-26 19:36:08,Pre-Purge,0,177116
2016-05-26 19:36:08,Pre-Purge,0,178117
2016-05-26 19:36:08,Pre-Purge,0,178117
2016-05-26 19:36:08,Pre-Purge,0,178117
2016-05-26 19:36:08,Pre-Purge,0,179118
2016-05-26 19:36:08,Pre-Purge,0,179118
2016-05-26 19:36:08,Pre-Purge,0,180119
2016-05-26 19:36:08,Pre-Purge,0,181119
2016-05-26 19:36:08,Pre-Purge,0,181119
2016-05-26 19:36:08,Pre-Purge,0,181119
2016-05-26 19:36:08,Pre-Purge,0,182120
2016-05-26 19:36:08,Pre-Purge,0,182120
2016-05-26 19:36:08,Pre-Purge,0,183120
2016-05-26 19:36:08,Pre-Purge,0,183120
2016-05-26 19:36:08,Pre-Purge,0,183120
2016-05-26 19:36:08,Pre-Purge,0,184122
2016-05-26 19:36:08,Pre-Purge,0,184122
2016-05-26 19:36:08,Pre-Purge,0,185122
2016-05-26 19:36:08,Pre-Purge,0,185122
2016-05-26 19:36:08,Pre-Purge,0,185122
2016-05-26 19:36:08,Pre-Purge,0,186123
2016-05-26 19:36:08,Pre-Purge,0,186123
2016-05-26 19:36:08,Pre-Purge,0,187123
2016-05-26 19:36:08,Pre-Purge,0,187123
2016-05-26 19:36:08,Pre-Purge,0,188124
2016-05-26 19:36:08,Pre-Purge,0,188124
2016-05-26 19:36:08,Pre-Purge,0,189125
2016-05-26 19:36:08,Pre-Purge,0,189125
2016-05-26 19:36:08,Pre-Purge,0,190125
2016-05-26 19:36:08,Pre-Purge,0,190125
