Timestamp,Event,Event Data
16:11:19,357 2016-05-26,Start Shutdown Purge,10,02 
16:11:19,457 2016-05-26,Boiler Initialized,0 
16:13:24,195 2016-05-26,Boiler Initialized,0 
16:17:47,290 2016-05-26,Boiler Ready,0 
16:17:59,104 2016-05-26,Start Pre-Purge,0,00 
16:17:59,204 2016-05-26,Start Pre-Purge,0,10 
16:17:59,304 2016-05-26,Start Pre-Purge,0,20 
16:17:59,404 2016-05-26,Start Pre-Purge,0,30 
16:17:59,504 2016-05-26,Start Pre-Purge,0,40 
16:17:59,604 2016-05-26,Start Pre-Purge,0,50 
16:17:59,704 2016-05-26,Start Pre-Purge,0,60 
16:17:59,805 2016-05-26,Start Pre-Purge,0,70 
16:17:59,904 2016-05-26,Start Pre-Purge,0,80 
16:18:00,004 2016-05-26,Start Pre-Purge,0,90 
16:18:00,104 2016-05-26,Start Pre-Purge,1,00 
16:18:00,204 2016-05-26,Start Pre-Purge,1,10 
16:18:00,304 2016-05-26,Start Pre-Purge,1,20 
16:18:00,406 2016-05-26,Start Pre-Purge,1,30 
16:18:00,505 2016-05-26,Start Pre-Purge,1,40 
16:18:00,605 2016-05-26,Start Pre-Purge,1,50 
16:18:00,705 2016-05-26,Start Pre-Purge,1,60 
16:18:00,805 2016-05-26,Start Pre-Purge,1,70 
16:18:00,905 2016-05-26,Start Pre-Purge,1,80 
16:18:01,005 2016-05-26,Start Pre-Purge,1,90 
16:18:01,106 2016-05-26,Start Pre-Purge,2,00 
16:18:01,205 2016-05-26,Start Pre-Purge,2,10 
16:18:01,305 2016-05-26,Start Pre-Purge,2,20 
16:18:01,405 2016-05-26,Start Pre-Purge,2,30 
16:18:01,505 2016-05-26,Start Pre-Purge,2,40 
16:18:01,605 2016-05-26,Start Pre-Purge,2,50 
16:18:01,705 2016-05-26,Start Pre-Purge,2,60 
16:18:01,805 2016-05-26,Start Pre-Purge,2,70 
16:18:01,905 2016-05-26,Start Pre-Purge,2,80 
16:18:02,005 2016-05-26,Start Pre-Purge,2,90 
16:18:02,105 2016-05-26,Start Pre-Purge,3,00 
16:18:02,207 2016-05-26,Start Pre-Purge,3,10 
